Rank,Name,Market Cap,Price,Today,Price (30 days),Country,ticker,right_ticker
1,Apple  AAPL,$2.298 T,$136.91,0.11%,,🇺🇸 USA,AAPL,False
2,Microsoft  MSFT,$1.829 T,$242.47,0.11%,,🇺🇸 USA,MSFT,False
3,Amazon  AMZN,$1.673 T,"$3,323",-0.87%,,🇺🇸 USA,AMZN,False
4,Alphabet (Google)  GOOG,$1.408 T,"$2,093",-0.24%,,🇺🇸 USA,GOOG,False
5,Tesla  TSLA,$828.75 B,$863.42,1.31%,,🇺🇸 USA,TSLA,False
6,Facebook  FB,$759.13 B,$266.58,-0.57%,,🇺🇸 USA,FB,False
7,Berkshire Hathaway BRK-A,$557.31 B,"$357,100",0.76%,,🇺🇸 USA,BRK-A,False
8,Visa  V,$456.16 B,$206.89,-0.90%,,🇺🇸 USA,V,False
9,Johnson & Johnson  JNJ,$434.15 B,$164.92,0.29%,,🇺🇸 USA,JNJ,False
10,JPMorgan Chase  JPM,$427.34 B,$140.14,1.57%,,🇺🇸 USA,JPM,False
1,Tencent  TCEHY,$910.51 B,$95.10,-0.31%,,🇨🇳 China,TCEHY,False
2,Alibaba  BABA,$717.64 B,$262.59,-1.16%,,🇨🇳 China,BABA,False
3,Kweichow Moutai  600519.SS,$478.29 B,$380.75,3.70%,,🇨🇳 China,600519.SS,False
4,Meituan-Dianping  MPNGF,$311.58 B,$52.85,2.20%,,🇨🇳 China,MPNGF,False
6,Pinduoduo  PDD,$230.86 B,$188.26,-4.03%,,🇨🇳 China,PDD,False
7,Ping An Insurance  PNGAY,$218.64 B,$23.43,-0.97%,,🇨🇳 China,PNGAY,False
9,Wuliangye Yibin  000858.SZ,$198.24 B,$51.07,2.97%,,🇨🇳 China,000858.SZ,False
10,China Construction Bank  CICHY,$193.29 B,$15.27,-0.59%,,🇨🇳 China,CICHY,False
1,Toyota  TM,$212.66 B,$152.93,1.37%,,🇯🇵 Japan,TM,False
2,SoftBank  SFTBF,$160.11 B,$94.00,9.92%,,🇯🇵 Japan,SFTBF,False
3,Sony  SNE,$141.87 B,$115.62,-0.93%,,🇯🇵 Japan,SNE,False
4,Keyence  KYCCF,$129.59 B,$540.00,0.53%,,🇯🇵 Japan,KYCCF,False
